datetimeindex,quarter,month,weeknum,weekday,hour,minute,open,high,low,close,volume,log_close,log_volume,diff_close,log_close_close_shift,sin_close,y
2021-09-01 00:15:00,3,9,35,2,0,15,0.072717,0.073,0.072717,0.072999,1734.0634,-2.61730953655771,7.458222719532521,0.00027800000000000047,1.0038228297190632,0.07293418377001863,1.0
2021-09-01 00:30:00,3,9,35,2,0,30,0.073,0.073,0.072687,0.072748,1466.0948,-2.620753864717366,7.290357546113019,-0.0002510000000000012,0.9965615967342019,0.07268384994943179,1.0
2021-09-01 00:45:00,3,9,35,2,0,45,0.072745,0.072762,0.072567,0.072688,1779.9474,-2.6215789699650895,7.484339092287707,-5.9999999999990616e-05,0.9991752350580086,0.0726240085167739,1.0
2021-09-01 01:00:00,3,9,35,2,1,0,0.072684,0.072842,0.072462,0.072737,1945.4833,-2.6209050830563143,7.573265708476176,4.899999999999349e-05,1.0006741140215716,0.07267287903969312,1.0
2021-09-01 01:15:00,3,9,35,2,1,15,0.072737,0.072998,0.072695,0.072971,1395.6183,-2.6176931770364855,7.241092821866374,0.0002339999999999981,1.0032170697169254,0.07290625831226452,1.0
2021-09-01 01:30:00,3,9,35,2,1,30,0.072972,0.072998,0.072767,0.072976,1378.9114,-2.6176246590127925,7.229049626273089,5.0000000000050004e-06,1.0000685203711064,0.07291124500534192,1.0
2021-09-01 01:45:00,3,9,35,2,1,45,0.072979,0.073311,0.072952,0.07309,2655.8282,-2.6160637204898367,7.884511824769302,0.00011400000000000299,1.001562157421618,0.073024941112704,1.0
2021-09-01 02:00:00,3,9,35,2,2,0,0.07309,0.073282,0.07306,0.073193,1429.5047,-2.61465549100286,7.26508329961985,0.00010299999999999199,1.0014092215077302,0.07312766572699052,1.0
2021-09-01 02:15:00,3,9,35,2,2,15,0.073188,0.073235,0.07306,0.073197,1295.1248,-2.6146008424612797,7.166362340146655,4.000000000004e-06,1.0000546500348395,0.07313165501675743,1.0
2021-09-01 02:30:00,3,9,35,2,2,30,0.073201,0.073233,0.073059,0.07317,1606.6051,-2.6149697780861985,7.381878598140251,-2.6999999999999247e-05,0.99963113242346,0.07310472728812661,1.0
2021-09-01 02:45:00,3,9,35,2,2,45,0.07317,0.073198,0.072883,0.072971,1351.9751,-2.6176931770364855,7.2093218392735485,-0.00019900000000000473,0.9972803061363946,0.07290625831226452,1.0
2021-09-01 03:00:00,3,9,35,2,3,0,0.072964,0.07309,0.072868,0.07309,853.1135,-2.6160637204898367,6.7488925984289905,0.00011900000000000799,1.0016307848323307,0.073024941112704,1.0
2021-09-01 03:15:00,3,9,35,2,3,15,0.073094,0.073155,0.073001,0.073055,1084.0485,-2.6165426968580894,6.988457922696129,-3.500000000000725e-05,0.9995211383226158,0.07299003451396378,1.0
2021-09-01 03:30:00,3,9,35,2,3,30,0.073055,0.073145,0.073003,0.073108,1065.5681,-2.6158174790899413,6.9712633631518415,5.300000000001137e-05,1.0007254808021355,0.07304289304294019,1.0
2021-09-01 03:45:00,3,9,35,2,3,45,0.073106,0.073219,0.073059,0.07318,1502.0614,-2.6148331193910765,7.314593710316792,7.199999999998874e-05,1.0009848443398806,0.07311470052716779,1.0
2021-09-01 04:00:00,3,9,35,2,4,0,0.073179,0.073187,0.07295,0.073085,1552.5536,-2.616132131640881,7.3476563381714035,-9.499999999999786e-05,0.9987018311013939,0.07301995446121698,1.0
2021-09-01 04:15:00,3,9,35,2,4,15,0.07309,0.073235,0.073077,0.073233,1254.8072,-2.614109139931397,7.134737214266271,0.00014800000000000924,1.0020250393377574,0.07316755857199717,1.0
2021-09-01 04:30:00,3,9,35,2,4,30,0.073234,0.073313,0.07311,0.073313,1123.9304,-2.6130173324723476,7.024587106828223,7.999999999999674e-05,1.0010924036977864,0.07324734391074232,1.0
2021-09-01 04:45:00,3,9,35,2,4,45,0.073312,0.073418,0.073206,0.073405,1810.6823,-2.6117632257907135,7.501459014553768,9.199999999999486e-05,1.0012548934022614,0.0733390964707347,1.0
2021-09-01 05:00:00,3,9,35,2,5,0,0.073401,0.073939,0.07336,0.073816,3038.4307,-2.606179768705882,8.019096444009083,0.0004110000000000086,1.0055990736325864,0.07374898346762901,1.0
2021-09-01 05:15:00,3,9,35,2,5,15,0.073817,0.073981,0.073809,0.073924,2379.87,-2.6047177405586273,7.774801143324954,0.00010799999999999699,1.0014630974314511,0.07385668893559355,1.0
2021-09-01 05:30:00,3,9,35,2,5,30,0.073921,0.074116,0.073833,0.074037,3123.0717,-2.6031903107363163,8.046572315713096,0.00011300000000000199,1.0015285969373953,0.07396937984558342,1.0
2021-09-01 05:45:00,3,9,35,2,5,45,0.074035,0.074444,0.074028,0.074336,2560.0567,-2.5991599223941386,7.847784685665835,0.0002989999999999937,1.0040385212799006,0.07426755742806766,1.0
2021-09-01 06:00:00,3,9,35,2,6,0,0.074342,0.074394,0.074186,0.07438,1626.0963,-2.598568190485213,7.393937513446271,4.400000000000237e-05,1.0005919070167886,0.07431143584363317,1.0
2021-09-01 06:15:00,3,9,35,2,6,15,0.07438,0.074381,0.07424,0.07435,1045.6415,-2.598971606075973,6.952385851652449,-3.0000000000002247e-05,0.9995966657703683,0.07428151875771147,1.0
